"periode","sex","tranche_age","nb_vaccins_dose1","nb_vaccins_dose2","nb_vaccins_dose3"
"09/2006",1,"15-19",NA,NA,NA
"07/2007",0,"5-9",NA,NA,NA
"07/2007",0,"20-24",NA,NA,NA
"07/2007",0,"30-34",NA,NA,NA
"07/2007",0,"35-39",NA,NA,NA
"07/2007",0,"40-44",NA,NA,NA
"07/2007",0,"45-49",NA,NA,NA
"07/2007",1,"5-9",NA,NA,NA
"07/2007",1,"10-14",766,12,NA
"07/2007",1,"15-19",4113,88,NA
"07/2007",1,"20-24",953,17,NA
"07/2007",1,"25-29",54,NA,NA
"07/2007",1,"30-34",NA,NA,NA
"07/2007",1,"35-39",NA,NA,NA
"07/2007",1,"40-44",30,NA,NA
"07/2007",1,"45-49",19,NA,NA
"08/2007",0,"0-4",NA,NA,NA
"08/2007",0,"10-14",NA,NA,NA
"08/2007",0,"15-19",NA,NA,NA
"08/2007",0,"30-34",NA,NA,NA
"08/2007",0,"35-39",NA,NA,NA
"08/2007",0,"40-44",12,NA,NA
"08/2007",0,"45-49",NA,NA,NA
"08/2007",1,"0-4",NA,NA,NA
"08/2007",1,"5-9",16,NA,NA
"08/2007",1,"10-14",2876,201,NA
"08/2007",1,"15-19",12475,898,16
"08/2007",1,"20-24",2230,175,NA
"08/2007",1,"25-29",125,12,NA
"08/2007",1,"30-34",21,NA,NA
"08/2007",1,"35-39",29,NA,NA
"08/2007",1,"40-44",70,NA,NA
"08/2007",1,"45-49",52,NA,NA
"09/2007",0,"0-4",NA,NA,NA
"09/2007",0,"5-9",NA,NA,NA
"09/2007",0,"10-14",NA,NA,NA
"09/2007",0,"15-19",NA,NA,NA
"09/2007",0,"20-24",NA,NA,NA
"09/2007",0,"25-29",NA,NA,NA
"09/2007",0,"30-34",NA,NA,NA
"09/2007",0,"35-39",NA,NA,NA
"09/2007",0,"40-44",30,NA,NA
"09/2007",0,"45-49",33,NA,NA
"09/2007",1,"0-4",NA,NA,NA
"09/2007",1,"5-9",33,NA,NA
"09/2007",1,"10-14",9082,968,14
"09/2007",1,"15-19",30683,4540,127
"09/2007",1,"20-24",5188,810,32
"09/2007",1,"25-29",236,31,NA
"09/2007",1,"30-34",42,NA,NA
"09/2007",1,"35-39",88,NA,NA
"09/2007",1,"40-44",167,NA,NA
"09/2007",1,"45-49",142,NA,NA
"10/2007",0,"0-4",NA,NA,NA
"10/2007",0,"5-9",NA,NA,NA
"10/2007",0,"10-14",12,NA,NA
"10/2007",0,"15-19",13,NA,NA
"10/2007",0,"35-39",NA,NA,NA
"10/2007",0,"40-44",37,NA,NA
"10/2007",0,"45-49",43,NA,NA
"10/2007",1,"0-4",NA,NA,NA
"10/2007",1,"5-9",25,NA,NA
"10/2007",1,"10-14",8773,2591,86
"10/2007",1,"15-19",34439,11404,499
"10/2007",1,"20-24",6271,1909,90
"10/2007",1,"25-29",284,95,NA
"10/2007",1,"30-34",43,NA,NA
"10/2007",1,"35-39",84,NA,NA
"10/2007",1,"40-44",200,NA,NA
"10/2007",1,"45-49",164,NA,NA
"11/2007",0,"5-9",NA,NA,NA
