"Date";"n"
"9-06";2
"7-07";6090
"8-07";19239
"9-07";52317
"10-07";67126
"11-07";80648
"12-07";81430
"1-08";128345
"2-08";111069
"3-08";121895
"4-08";131911
"5-08";118796
"6-08";116836
"7-08";104215
"8-08";91751
"9-08";140237
"10-08";111099
"11-08";90272
"12-08";90981
"1-09";90262
"2-09";78511
"3-09";89125
"4-09";84811
"5-09";71089
"6-09";71900
"7-09";60171
"8-09";55724
"9-09";87003
"10-09";67172
"11-09";60641
"12-09";49315
"1-10";51575
"2-10";48059
"3-10";56627
"4-10";53339
"5-10";47225
"6-10";54364
"7-10";43912
"8-10";46663
"9-10";73260
"10-10";61413
"11-10";56903
"12-10";51061
"1-11";50885
"2-11";39415
"3-11";49766
"4-11";42923
"5-11";45253
"6-11";41970
"7-11";32224
"8-11";28684
"9-11";44965
"10-11";36339
"11-11";31517
"12-11";28598
"1-12";27909
"2-12";25034
"3-12";27555
"4-12";25978
"5-12";24626
"6-12";28291
"7-12";23908
"8-12";24993
"9-12";37898
"10-12";34566
"11-12";32343
"12-12";25991
"1-13";31283
"2-13";26532
"3-13";29986
"4-13";32611
"5-13";33461
"6-13";38510
"7-13";36824
"8-13";40696
"9-13";69723
"10-13";69364
"11-13";51657
"12-13";35950
"1-14";39987
"2-14";33564
"3-14";38637
"4-14";34655
"5-14";30601
"6-14";30274
"7-14";26085
"8-14";26340
"9-14";45228
"10-14";43573
"11-14";30424
"12-14";28225
"1-15";30386
"2-15";27852
"3-15";30747
"4-15";31801
"5-15";26649
"6-15";33099
"7-15";25070
"8-15";28475
"9-15";46585
"10-15";39486
"11-15";28532
"12-15";28284
"1-16";28370
"2-16";29468
"3-16";30287
"4-16";30626
"5-16";26905
"6-16";32118
"7-16";23305
"8-16";29652
"9-16";42314
"10-16";36595
"11-16";30066
"12-16";27926
"1-17";28903
"2-17";27677
"3-17";31024
"4-17";28735
"5-17";28398
"6-17";30897
"7-17";25873
"8-17";29951
"9-17";45440
"10-17";33035
"11-17";37057
"12-17";27297
"1-18";36916
"2-18";33292
"3-18";39540
"4-18";37923
"5-18";36679
"6-18";42801
"7-18";36127
"8-18";40556
"9-18";58558
"10-18";60780
"11-18";47846
"12-18";40530
"1-19";49583
"2-19";46592
"3-19";52900
"4-19";57577
"5-19";54366
"6-19";54358
"7-19";52716
"8-19";53492
"9-19";76994
"10-19";79637
"11-19";59867
"12-19";55878
"1-20";66198
"2-20";64881
"3-20";39622
"4-20";31789
"5-20";47079
"6-20";67328
"7-20";56526
"8-20";62964
"9-20";79225
"10-20";75177
"11-20";54580
"12-20";58842
"1-21";70694
"2-21";81590
"3-21";97758
"4-21";102684
"5-21";85554
"6-21";105212
"7-21";70470
"8-21";73346
"9-21";109983
"10-21";118864
"11-21";110652
"12-21";99123
"1-22";85130
"2-22";82287
"3-22";101449
"4-22";96661
"5-22";103717
"6-22";112261
"7-22";82688
"8-22";106464
"9-22";154498
"10-22";146389
"11-22";124390
"12-22";111468
"1-23";112598
"2-23";115830
"3-23";147803
"4-23";129304
"5-23";123802
"6-23";145559
"7-23";112897
"8-23";129790
"9-23";178554
"10-23";188729
"11-23";135232
"12-23";116719
"1-24";128466
"2-24";120937
"3-24";124942
"4-24";136586
"5-24";118834
"6-24";136762
"7-24";123241
"8-24";116507
"9-24";141419
"10-24";157934
"11-24";109338
"12-24";103818
"1-25";113548
"2-25";109273
"3-25";113424
"4-25";119136
"5-25";112062
"6-25";117050
"7-25";112797
"8-25";106818
"9-25";123146
"10-25";149389
"11-25";105789
"12-25";104479
"1-26";107842
"2-26";116705
"3-26";122403
"4-26";110843
