Date;n
2023-01-28;8
2023-01-29;9
2023-01-30;10
2023-01-31;9
2023-02-01;10
2023-02-02;9
2023-02-03;7
2023-02-04;11
2023-02-05;8
2023-02-06;7
2023-02-07;10
2023-02-08;8
2023-02-09;9
2023-02-10;8
2023-02-11;5
2023-02-12;4
2023-02-13;10
2023-02-14;9
2023-02-15;10
2023-02-16;7
2023-02-17;8
2023-02-18;8
2023-02-19;5
2023-02-20;11
2023-02-21;12
2023-02-22;8
2023-02-23;13
2023-02-24;8
2023-02-25;4
2023-02-26;5
2023-02-27;11
2023-02-28;100
2023-03-01;63
2023-03-02;36
2023-03-03;31
2023-03-04;18
2023-03-05;15
2023-03-06;15
2023-03-07;16
2023-03-08;14
2023-03-09;12
2023-03-10;12
2023-03-11;11
2023-03-12;8
2023-03-13;9
2023-03-14;11
2023-03-15;13
2023-03-16;12
2023-03-17;10
2023-03-18;9
2023-03-19;7
2023-03-20;12
2023-03-21;12
2023-03-22;13
2023-03-23;8
2023-03-24;10
2023-03-25;5
2023-03-26;8
2023-03-27;12
2023-03-28;10
