Date;n
2006-09;5
2006-10;6
2006-11;15
2006-12;9
2007-01;7
2007-02;10
2007-03;8
2007-04;7
2007-05;8
2007-06;8
2007-07;18
2007-08;21
2007-09;30
2007-10;23
2007-11;27
2007-12;28
2008-01;46
2008-02;39
2008-03;29
2008-04;33
2008-05;28
2008-06;20
2008-07;21
2008-08;21
2008-09;27
2008-10;24
2008-11;19
2008-12;21
2009-01;21
2009-02;23
2009-03;21
2009-04;17
2009-05;13
2009-06;13
2009-07;12
2009-08;12
2009-09;16
2009-10;12
2009-11;16
2009-12;11
2010-01;9
2010-02;9
2010-03;10
2010-04;10
2010-05;9
2010-06;11
2010-07;9
2010-08;9
2010-09;10
2010-10;10
2010-11;11
2010-12;8
2011-01;21
2011-02;24
2011-03;11
2011-04;11
2011-05;10
2011-06;9
2011-07;31
2011-08;12
2011-09;15
2011-10;18
2011-11;14
2011-12;9
2012-01;11
2012-02;12
2012-03;9
2012-04;8
2012-05;6
2012-06;8
2012-07;7
2012-08;10
2012-09;10
2012-10;9
2012-11;9
2012-12;7
2013-01;9
2013-02;8
2013-03;9
2013-04;9
2013-05;12
2013-06;9
2013-07;11
2013-08;9
2013-09;12
2013-10;12
2013-11;70
2013-12;17
2014-01;13
2014-02;11
2014-03;16
2014-04;26
2014-05;14
2014-06;11
2014-07;11
2014-08;10
2014-09;19
2014-10;20
2014-11;13
2014-12;10
2015-01;12
2015-02;20
2015-03;14
2015-04;12
2015-05;11
2015-06;13
2015-07;12
2015-08;15
2015-09;17
2015-10;12
2015-11;14
2015-12;12
2016-01;15
2016-02;12
2016-03;13
2016-04;13
2016-05;12
2016-06;11
2016-07;11
2016-08;9
2016-09;15
2016-10;13
2016-11;12
2016-12;15
2017-01;12
2017-02;13
2017-03;12
2017-04;11
2017-05;11
2017-06;14
2017-07;14
2017-08;14
2017-09;17
2017-10;17
2017-11;17
2017-12;14
2018-01;16
2018-02;16
2018-03;18
2018-04;16
2018-05;17
2018-06;18
2018-07;16
2018-08;16
2018-09;22
2018-10;21
2018-11;19
2018-12;18
2019-01;22
2019-02;23
2019-03;29
2019-04;30
2019-05;23
2019-06;22
2019-07;20
2019-08;22
2019-09;27
2019-10;28
2019-11;27
2019-12;27
2020-01;26
2020-02;28
2020-03;16
2020-04;14
2020-05;18
2020-06;25
2020-07;26
2020-08;27
2020-09;31
2020-10;26
2020-11;28
2020-12;34
2021-01;42
2021-02;44
2021-03;45
2021-04;40
2021-05;42
2021-06;46
2021-07;65
2021-08;44
2021-09;38
2021-10;32
2021-11;37
2021-12;35
2022-01;41
2022-02;36
2022-03;35
2022-04;38
2022-05;37
2022-06;38
2022-07;31
2022-08;40
2022-09;47
2022-10;41
2022-11;37
2022-12;35
2023-01;42
2023-02;62
2023-03;71
2023-04;45
2023-05;46
2023-06;51
2023-07;40
2023-08;46
2023-09;94
2023-10;100
2023-11;62
2023-12;41
2024-01;43
2024-02;45
2024-03;43
2024-04;48
2024-05;41
2024-06;48
2024-07;41
2024-08;42
2024-09;54
2024-10;50
2024-11;43
2024-12;34
2025-01;43
2025-02;44
2025-03;49
2025-04;47
2025-05;47
2025-06;46
2025-07;43
2025-08;42
2025-09;47
2025-10;54
2025-11;53
2025-12;44
2026-01;46
2026-02;49
2026-03;57
2026-04;50
