Date,seasonal_sur_range
2007 Jul,-0.014441639047265867
2007 Aug,-0.027099243460189444
2007 Sep,0.04170493305675304
2007 Oct,0.02936746260758045
2007 Nov,0.02842154641604474
2007 Dec,-0.03533001803952471
2008 Jan,0.005234286878660057
2008 Feb,0.01887691887235588
2008 Mar,0.006711828249818441
2008 Apr,-0.007472568913302122
2008 May,-0.027197746218266653
2008 Jun,-0.01877576040266382
2008 Jul,-0.014441639047265867
2008 Aug,-0.027099243460189444
2008 Sep,0.04170493305675304
2008 Oct,0.02936746260758045
2008 Nov,0.02842154641604474
2008 Dec,-0.03533001803952471
2009 Jan,0.005234286878660057
2009 Feb,0.01887691887235588
2009 Mar,0.006711828249818441
2009 Apr,-0.007472568913302122
2009 May,-0.027197746218266653
2009 Jun,-0.01877576040266382
2009 Jul,-0.014441639047265867
2009 Aug,-0.027099243460189444
2009 Sep,0.04170493305675304
2009 Oct,0.02936746260758045
2009 Nov,0.02842154641604474
2009 Dec,-0.03533001803952471
2010 Jan,0.005234286878660057
2010 Feb,0.01887691887235588
2010 Mar,0.006711828249818441
2010 Apr,-0.007472568913302122
2010 May,-0.027197746218266653
2010 Jun,-0.01877576040266382
2010 Jul,-0.014441639047265867
2010 Aug,-0.027099243460189444
2010 Sep,0.04170493305675304
2010 Oct,0.02936746260758045
2010 Nov,0.02842154641604474
2010 Dec,-0.03533001803952471
2011 Jan,0.005234286878660057
2011 Feb,0.01887691887235588
2011 Mar,0.006711828249818441
2011 Apr,-0.007472568913302122
2011 May,-0.027197746218266653
2011 Jun,-0.01877576040266382
2011 Jul,-0.014441639047265867
2011 Aug,-0.027099243460189444
2011 Sep,0.04170493305675304
2011 Oct,0.02936746260758045
2011 Nov,0.02842154641604474
2011 Dec,-0.03533001803952471
2012 Jan,0.005234286878660057
2012 Feb,0.01887691887235588
2012 Mar,0.006711828249818441
2012 Apr,-0.007472568913302122
2012 May,-0.027197746218266653
2012 Jun,-0.01877576040266382
2012 Jul,-0.014441639047265867
2012 Aug,-0.027099243460189444
2012 Sep,0.04170493305675304
2012 Oct,0.02936746260758045
2012 Nov,0.02842154641604474
2012 Dec,-0.03533001803952471
2013 Jan,0.005234286878660057
2013 Feb,0.01887691887235588
2013 Mar,0.006711828249818441
2013 Apr,-0.007472568913302122
2013 May,-0.027197746218266653
2013 Jun,-0.01877576040266382
2013 Jul,-0.014441639047265867
2013 Aug,-0.027099243460189444
2013 Sep,0.04170493305675304
2013 Oct,0.02936746260758045
2013 Nov,0.02842154641604474
