"periode","dose_1","dose_2","dose_3"
"09/2006",2,0,0
"07/2007",5972,118,0
"08/2007",17931,1290,18
"09/2007",45771,6368,178
"10/2007",50409,16035,682
"11/2007",52103,26687,1858
"12/2007",46527,31187,3716
"01/2008",79032,41854,7459
"02/2008",60682,39044,11343
"03/2008",51838,49387,20670
"04/2008",53258,50807,27846
"05/2008",44869,42941,30986
"06/2008",40685,41918,34233
"07/2008",32070,35951,36194
"08/2008",27853,30012,33886
"09/2008",55582,39076,45579
"10/2008",41832,32714,36553
"11/2008",28295,34212,27765
"12/2008",28752,32319,29910
"01/2009",33169,28396,28697
"02/2009",31001,23519,23991
"03/2009",32326,27407,29392
"04/2009",29909,27235,27667
"05/2009",24507,24314,22268
"06/2009",24216,25135,22549
"07/2009",20059,20565,19547
"08/2009",19860,17841,18023
"09/2009",36596,24610,25797
"10/2009",25574,20885,20713
"11/2009",20436,22987,17218
"12/2009",15359,18385,15571
"01/2010",18119,17269,16187
"02/2010",18876,14231,14952
"03/2010",20511,17259,18857
"04/2010",19662,17044,16633
"05/2010",17431,15603,14191
"06/2010",21706,17749,14909
"07/2010",17357,14476,12079
"08/2010",19248,15035,12380
"09/2010",35478,20883,16899
"10/2010",26996,19665,14752
"11/2010",21312,22348,13243
"12/2010",17244,20052,13765
"01/2011",18043,18294,14548
"02/2011",13430,13269,12716
"03/2011",16545,15210,18011
"04/2011",14719,12620,15584
"05/2011",15818,14193,15242
"06/2011",14946,13387,13637
"07/2011",10795,11046,10383
"08/2011",9953,9735,8996
"09/2011",19080,12707,13178
"10/2011",14673,10947,10719
"11/2011",10860,11600,9057
"12/2011",9444,10266,8888
"01/2012",9787,9403,8719
"02/2012",9232,8046,7756
"03/2012",9818,8461,9276
"04/2012",9301,8043,8634
"05/2012",8947,7921,7758
"06/2012",11457,8487,8347
"07/2012",9651,7547,6710
"08/2012",11169,7717,6107
"09/2012",18943,10596,8359
"10/2012",16163,10891,7512
"11/2012",13290,12325,6728
"12/2012",9553,10056,6382
"01/2013",11847,11319,8117
"02/2013",10924,8408,7200
"03/2013",11467,9337,9182
"04/2013",13855,9533,9223
"05/2013",14865,9707,8889
"06/2013",19817,10406,8287
"07/2013",17938,11165,7721
"08/2013",21498,12350,6848
"09/2013",41240,18297,10186
"10/2013",36764,22201,10399
"11/2013",21161,21624,8872
"12/2013",10108,16954,8888
"01/2014",12564,15486,11937
"02/2014",12581,9561,11422
"03/2014",12835,10669,15133
"04/2014",10416,9337,14902
"05/2014",9874,8823,11904
"06/2014",12428,7974,9872
"07/2014",11208,7044,7833
"08/2014",13152,6796,6392
"09/2014",25603,10510,9115
"10/2014",24394,11738,7441
"11/2014",14981,10294,5149
"12/2014",12422,10711,5092
"01/2015",13848,10749,5789
"02/2015",13011,9368,5473
"03/2015",13146,11036,6565
"04/2015",12981,11705,7115
"05/2015",10959,10053,5637
"06/2015",15492,11456,6151
"07/2015",11619,8584,4867
"08/2015",14360,9344,4771
"09/2015",26013,13884,6688
"10/2015",20596,13109,5781
"11/2015",13160,10925,4447
"12/2015",11802,11529,4953
"01/2016",12344,10908,5118
"02/2016",13478,10697,5293
"03/2016",12925,11505,5857
"04/2016",12579,11697,6350
"05/2016",11654,10207,5044
"06/2016",15160,11194,5764
"07/2016",11060,8063,4182
"08/2016",14987,9927,4738
"09/2016",23306,13349,5659
"10/2016",19071,12213,5311
"11/2016",14204,11381,4481
"12/2016",11922,11249,4755
"01/2017",13265,10855,4783
"02/2017",12729,10189,4759
"03/2017",13490,11953,5581
"04/2017",12205,11206,5324
"05/2017",12739,10791,4868
"06/2017",14795,11030,5072
"07/2017",12582,8997,4294
"08/2017",15673,9929,4349
"09/2017",25589,14124,5727
"10/2017",17203,11292,4540
"11/2017",18361,13757,4939
"12/2017",12701,10397,4199
"01/2018",17780,13484,5652
"02/2018",16795,11615,4882
"03/2018",19046,14279,6215
"04/2018",18756,13564,5603
"05/2018",17333,13584,5762
"06/2018",21950,14844,6007
"07/2018",18188,12571,5368
"08/2018",21416,13682,5458
"09/2018",32577,18714,7267
"10/2018",32964,19912,7904
"11/2018",24326,17166,6354
"12/2018",18173,16105,6252
"01/2019",23086,18477,8020
"02/2019",22676,16587,7329
"03/2019",25389,19027,8484
"04/2019",28139,20419,9019
"05/2019",26151,19842,8373
"06/2019",26611,19572,8175
"07/2019",26306,18426,7984
"08/2019",28012,17956,7524
"09/2019",42196,25040,9758
"10/2019",42401,26803,10433
"11/2019",29546,22059,8262
"12/2019",25394,21940,8544
"01/2020",31964,24412,9822
"02/2020",32418,23123,9340
"03/2020",15580,16819,7223
"04/2020",7197,16862,7730
"05/2020",16979,20560,9540
"06/2020",32810,23857,10661
"07/2020",29179,19322,8025
"08/2020",32542,22127,8295
"09/2020",45382,25192,8651
"10/2020",43936,23704,7537
"11/2020",27874,20062,6644
"12/2020",26979,23349,8514
"01/2021",36729,24891,9074
"02/2021",46656,25679,9255
"03/2021",54894,32281,10583
"04/2021",55332,35977,11375
"05/2021",45478,30695,9381
"06/2021",57492,36616,11104
"07/2021",37333,24717,8420
"08/2021",38882,24723,9741
"09/2021",61821,35045,13117
"10/2021",64410,40050,14404
"11/2021",57192,41088,12372
"12/2021",45899,41743,11481
"01/2022",39617,36000,9513
"02/2022",40689,32076,9522
"03/2022",50806,38491,12152
"04/2022",46036,37651,12974
"05/2022",50573,39618,13526
"06/2022",57211,41125,13925
"07/2022",42919,29726,10043
"08/2022",59247,35821,11396
"09/2022",94959,46126,13413
"10/2022",87229,46129,13031
"11/2022",67043,45441,11906
"12/2022",54541,44512,12415
"01/2023",54425,45525,12648
"02/2023",57403,45201,13226
"03/2023",75529,56066,16208
"04/2023",61679,51763,15862
"05/2023",57241,51312,15249
"06/2023",73063,55679,16817
"07/2023",57708,41847,13342
"08/2023",68256,47292,14242
"09/2023",97424,62832,18298
"10/2023",105290,64687,18752
"11/2023",68654,52257,14321
"12/2023",51003,51067,14649
"01/2024",55716,56217,16533
"02/2024",54204,51155,15578
"03/2024",53418,54303,17221
"04/2024",57422,59642,19522
"05/2024",51004,50984,16846
