Date,n
2007-07-01,771
2007-08-01,3047
2007-09-01,9999
2007-10-01,11380
2007-11-01,13009
2007-12-01,12209
2008-01-01,20742
2008-02-01,16683
2008-03-01,18349
2008-04-01,19616
2008-05-01,18553
2008-06-01,17724
2008-07-01,14550
2008-08-01,14673
2008-09-01,27480
2008-10-01,21704
2008-11-01,18143
2008-12-01,18104
2009-01-01,19575
2009-02-01,17547
2009-03-01,21368
2009-04-01,20283
2009-05-01,17508
2009-06-01,18041
2009-07-01,14270
2009-08-01,15646
2009-09-01,27487
2009-10-01,20718
2009-11-01,19319
2009-12-01,14483
2010-01-01,16539
2010-02-01,15651
2010-03-01,19341
2010-04-01,18370
2010-05-01,16498
2010-06-01,19030
2010-07-01,14490
2010-08-01,17342
2010-09-01,30039
2010-10-01,23835
2010-11-01,21998
2010-12-01,18917
2011-01-01,19215
2011-02-01,14414
2011-03-01,18382
2011-04-01,15869
2011-05-01,16990
2011-06-01,15541
2011-07-01,11373
2011-08-01,11387
2011-09-01,19091
2011-10-01,14840
2011-11-01,13106
2011-12-01,11102
2012-01-01,10936
2012-02-01,9887
2012-03-01,10772
2012-04-01,10073
2012-05-01,9612
2012-06-01,10907
2012-07-01,8584
2012-08-01,9924
2012-09-01,16293
2012-10-01,14258
2012-11-01,13096
2012-12-01,10172
2013-01-01,12189
2013-02-01,10442
2013-03-01,11383
2013-04-01,13122
2013-05-01,14789
2013-06-01,18842
2013-07-01,17469
2013-08-01,21967
2013-09-01,41686
2013-10-01,40650
2013-11-01,30193
2013-12-01,20616
2014-01-01,22474
2014-02-01,19026
2014-03-01,21620
2014-04-01,19557
2014-05-01,17412
2014-06-01,17420
2014-07-01,13886
2014-08-01,15094
2014-09-01,28213
2014-10-01,25931
2014-11-01,17532
2014-12-01,15535
2015-01-01,16925
2015-02-01,15498
2015-03-01,17242
2015-04-01,17701
2015-05-01,14630
2015-06-01,18924
2015-07-01,13138
2015-08-01,16256
2015-09-01,29050
2015-10-01,22966
2015-11-01,16023
2015-12-01,15404
2016-01-01,15559
2016-02-01,16196
2016-03-01,17118
2016-04-01,16571
2016-05-01,15038
2016-06-01,18185
2016-07-01,12311
2016-08-01,16968
2016-09-01,26257
2016-10-01,21325
2016-11-01,16783
2016-12-01,15048
2017-01-01,15871
2017-02-01,15313
2017-03-01,17681
2017-04-01,15887
2017-05-01,16097
2017-06-01,17840
2017-07-01,13953
2017-08-01,17347
2017-09-01,28535
2017-10-01,19274
2017-11-01,21163
2017-12-01,15275
2018-01-01,20744
2018-02-01,19091
2018-03-01,22434
2018-04-01,21383
2018-05-01,20415
2018-06-01,24712
2018-07-01,19222
2018-08-01,23117
2018-09-01,35952
2018-10-01,35431
2018-11-01,27000
2018-12-01,21764
2019-01-01,27050
2019-02-01,25503
2019-03-01,29402
2019-04-01,31354
2019-05-01,29700
2019-06-01,29733
2019-07-01,27129
2019-08-01,29487
2019-09-01,45909
2019-10-01,45200
2019-11-01,32667
2019-12-01,28831
2020-01-01,35321
2020-02-01,35005
2020-03-01,20098
2020-04-01,15594
2020-05-01,25926
2020-06-01,39593
2020-07-01,31574
2020-08-01,35890
2020-09-01,48807
2020-10-01,43727
2020-11-01,30066
2020-12-01,31521
2021-01-01,40040
2021-02-01,46173
2021-03-01,55814
2021-04-01,56949
2021-05-01,47263
2021-06-01,61920
2021-07-01,39777
2021-08-01,41859
2021-09-01,65839
2021-10-01,69591
2021-11-01,63442
2021-12-01,55244
2022-01-01,47699
2022-02-01,45529
2022-03-01,59545
2022-04-01,55017
2022-05-01,60840
2022-06-01,66669
2022-07-01,46427
2022-08-01,63156
2022-09-01,98291
2022-10-01,89624
2022-11-01,73588
2022-12-01,63102
2023-01-01,65505
2023-02-01,68456
2023-03-01,88129
2023-04-01,75747
2023-05-01,72103
2023-06-01,86773
2023-07-01,64470
2023-08-01,76932
2023-09-01,110402
2023-10-01,112389
2023-11-01,77676
2023-12-01,64450
2024-01-01,72086
2024-02-01,70809
2024-03-01,72967
2024-04-01,80697
2024-05-01,70384
2024-06-01,84134
2024-07-01,71413
2024-08-01,69947
2024-09-01,88109
2024-10-01,97840
2024-11-01,65565
2024-12-01,61181
2025-01-01,68351
2025-02-01,67580
2025-03-01,69644
2025-04-01,74003
2025-05-01,69140
2025-06-01,73313
2025-07-01,65926
2025-08-01,64941
2025-09-01,76689
2025-10-01,93677
2025-11-01,63979
2025-12-01,60961
2026-01-01,60078
2026-02-01,65751
2026-03-01,65581
2026-04-01,60655
