Date,n
2007-07-01,0
2007-08-01,12
2007-09-01,63
2007-10-01,105
2007-11-01,132
2007-12-01,118
2008-01-01,255
2008-02-01,200
2008-03-01,225
2008-04-01,210
2008-05-01,172
2008-06-01,183
2008-07-01,176
2008-08-01,154
2008-09-01,256
2008-10-01,183
2008-11-01,156
2008-12-01,150
2009-01-01,219
2009-02-01,160
2009-03-01,176
2009-04-01,205
2009-05-01,142
2009-06-01,145
2009-07-01,143
2009-08-01,118
2009-09-01,204
2009-10-01,165
2009-11-01,150
2009-12-01,112
2010-01-01,165
2010-02-01,147
2010-03-01,143
2010-04-01,162
2010-05-01,118
2010-06-01,125
2010-07-01,110
2010-08-01,89
2010-09-01,200
2010-10-01,173
2010-11-01,137
2010-12-01,156
2011-01-01,188
2011-02-01,111
2011-03-01,138
2011-04-01,96
2011-05-01,141
2011-06-01,105
2011-07-01,83
2011-08-01,74
2011-09-01,175
2011-10-01,64
2011-11-01,69
2011-12-01,81
2012-01-01,88
2012-02-01,56
2012-03-01,74
2012-04-01,41
2012-05-01,61
2012-06-01,66
2012-07-01,54
2012-08-01,75
2012-09-01,88
2012-10-01,70
2012-11-01,74
2012-12-01,59
2013-01-01,79
2013-02-01,64
2013-03-01,66
2013-04-01,64
2013-05-01,69
2013-06-01,97
2013-07-01,101
2013-08-01,120
2013-09-01,175
2013-10-01,184
2013-11-01,161
2013-12-01,83
2014-01-01,106
2014-02-01,98
2014-03-01,72
2014-04-01,105
2014-05-01,70
2014-06-01,62
2014-07-01,72
2014-08-01,61
2014-09-01,114
2014-10-01,117
2014-11-01,78
2014-12-01,66
2015-01-01,95
2015-02-01,63
2015-03-01,73
2015-04-01,82
2015-05-01,49
2015-06-01,77
2015-07-01,62
2015-08-01,61
2015-09-01,111
2015-10-01,104
2015-11-01,53
2015-12-01,55
2016-01-01,64
2016-02-01,71
2016-03-01,54
2016-04-01,58
2016-05-01,53
2016-06-01,76
2016-07-01,40
2016-08-01,45
2016-09-01,110
2016-10-01,82
2016-11-01,84
2016-12-01,52
2017-01-01,68
2017-02-01,65
2017-03-01,69
2017-04-01,79
2017-05-01,86
2017-06-01,122
2017-07-01,65
2017-08-01,102
2017-09-01,145
2017-10-01,118
2017-11-01,165
2017-12-01,101
2018-01-01,203
2018-02-01,162
2018-03-01,250
2018-04-01,256
2018-05-01,188
2018-06-01,345
2018-07-01,303
2018-08-01,339
2018-09-01,552
2018-10-01,679
2018-11-01,680
2018-12-01,681
2019-01-01,869
2019-02-01,838
2019-03-01,1043
2019-04-01,1270
2019-05-01,1330
2019-06-01,1386
2019-07-01,1416
2019-08-01,1361
2019-09-01,1875
2019-10-01,2094
2019-11-01,1998
2019-12-01,2476
2020-01-01,4077
2020-02-01,4379
2020-03-01,2674
2020-04-01,2038
2020-05-01,3401
2020-06-01,5684
2020-07-01,5546
2020-08-01,6838
2020-09-01,9158
2020-10-01,9606
2020-11-01,7155
2020-12-01,8706
2021-01-01,15091
2021-02-01,21303
2021-03-01,26897
2021-04-01,29838
2021-05-01,25880
2021-06-01,33199
2021-07-01,22263
2021-08-01,26793
2021-09-01,42783
2021-10-01,47769
2021-11-01,44335
2021-12-01,39971
2022-01-01,33655
2022-02-01,32420
2022-03-01,41285
2022-04-01,40266
2022-05-01,43591
2022-06-01,47717
2022-07-01,35551
2022-08-01,46733
2022-09-01,70475
2022-10-01,67444
2022-11-01,56830
2022-12-01,52140
2023-01-01,51128
2023-02-01,53298
2023-03-01,70791
2023-04-01,62415
2023-05-01,58796
2023-06-01,69893
2023-07-01,54274
2023-08-01,64087
2023-09-01,89690
2023-10-01,96693
2023-11-01,67765
2023-12-01,59676
2024-01-01,64492
2024-02-01,59446
2024-03-01,62507
2024-04-01,68708
2024-05-01,59312
2024-06-01,67843
2024-07-01,61120
2024-08-01,58136
2024-09-01,69595
2024-10-01,78712
2024-11-01,53708
2024-12-01,51784
2025-01-01,55474
2025-02-01,53345
2025-03-01,55687
2025-04-01,58838
2025-05-01,55589
2025-06-01,57532
2025-07-01,55132
2025-08-01,52673
2025-09-01,59910
2025-10-01,73338
2025-11-01,51703
2025-12-01,51245
2026-01-01,50501
2026-02-01,54091
2026-03-01,55804
2026-04-01,50462
