Date;n
2007-07-01;6090
2007-08-01;19239
2007-09-01;52317
2007-10-01;67126
2007-11-01;80648
2007-12-01;81430
2008-01-01;128345
2008-02-01;111069
2008-03-01;121895
2008-04-01;131911
2008-05-01;118796
2008-06-01;116836
2008-07-01;104215
2008-08-01;91751
2008-09-01;140237
2008-10-01;111099
2008-11-01;90272
2008-12-01;90981
2009-01-01;90262
2009-02-01;78511
2009-03-01;89125
2009-04-01;84811
2009-05-01;71089
2009-06-01;71900
2009-07-01;60171
2009-08-01;55724
2009-09-01;87003
2009-10-01;67172
2009-11-01;60641
2009-12-01;49315
2010-01-01;51575
2010-02-01;48059
2010-03-01;56627
2010-04-01;53339
2010-05-01;47225
2010-06-01;54364
2010-07-01;43912
2010-08-01;46663
2010-09-01;73260
2010-10-01;61413
2010-11-01;56903
2010-12-01;51061
2011-01-01;50885
2011-02-01;39415
2011-03-01;49766
2011-04-01;42923
2011-05-01;45253
2011-06-01;41970
2011-07-01;32224
2011-08-01;28684
2011-09-01;44965
2011-10-01;36339
2011-11-01;31517
2011-12-01;28598
2012-01-01;27909
2012-02-01;25034
2012-03-01;27555
2012-04-01;25978
2012-05-01;24626
2012-06-01;28291
2012-07-01;23908
2012-08-01;24993
2012-09-01;37898
2012-10-01;34566
2012-11-01;32343
2012-12-01;25991
2013-01-01;31283
2013-02-01;26532
2013-03-01;29986
2013-04-01;32611
2013-05-01;33461
2013-06-01;38510
2013-07-01;36824
2013-08-01;40696
2013-09-01;69723
2013-10-01;69364
2013-11-01;51657
2013-12-01;35950
2014-01-01;39987
2014-02-01;33564
2014-03-01;38637
2014-04-01;34655
2014-05-01;30601
2014-06-01;30274
2014-07-01;26085
2014-08-01;26340
2014-09-01;45228
2014-10-01;43573
2014-11-01;30424
2014-12-01;28225
2015-01-01;30386
2015-02-01;27852
2015-03-01;30747
2015-04-01;31801
2015-05-01;26649
2015-06-01;33099
2015-07-01;25070
2015-08-01;28475
2015-09-01;46585
2015-10-01;39486
2015-11-01;28532
2015-12-01;28284
2016-01-01;28370
2016-02-01;29468
2016-03-01;30287
2016-04-01;30626
2016-05-01;26905
2016-06-01;32118
2016-07-01;23305
2016-08-01;29652
2016-09-01;42314
2016-10-01;36595
2016-11-01;30066
2016-12-01;27926
2017-01-01;28903
2017-02-01;27677
2017-03-01;31024
2017-04-01;28735
2017-05-01;28398
2017-06-01;30897
2017-07-01;25873
2017-08-01;29951
2017-09-01;45440
2017-10-01;33035
2017-11-01;37057
2017-12-01;27297
2018-01-01;36916
2018-02-01;33292
2018-03-01;39540
2018-04-01;37923
2018-05-01;36679
2018-06-01;42801
2018-07-01;36127
2018-08-01;40556
2018-09-01;58558
2018-10-01;60780
2018-11-01;47846
2018-12-01;40530
2019-01-01;49583
2019-02-01;46592
2019-03-01;52900
2019-04-01;57577
2019-05-01;54366
2019-06-01;54358
2019-07-01;52716
2019-08-01;53492
2019-09-01;76994
2019-10-01;79637
2019-11-01;59867
2019-12-01;55878
2020-01-01;66198
2020-02-01;64881
2020-03-01;39622
2020-04-01;31789
2020-05-01;47079
2020-06-01;67328
2020-07-01;56526
2020-08-01;62964
2020-09-01;79225
2020-10-01;75177
2020-11-01;54580
2020-12-01;58842
2021-01-01;70694
2021-02-01;81590
2021-03-01;97758
2021-04-01;102684
2021-05-01;85554
2021-06-01;105212
2021-07-01;70470
2021-08-01;73346
2021-09-01;109983
2021-10-01;118864
2021-11-01;110652
2021-12-01;99123
2022-01-01;85130
2022-02-01;82287
2022-03-01;101449
2022-04-01;96661
2022-05-01;103717
2022-06-01;112261
2022-07-01;82688
2022-08-01;106464
2022-09-01;154498
2022-10-01;146389
2022-11-01;124390
2022-12-01;111468
2023-01-01;112598
2023-02-01;115830
2023-03-01;147803
2023-04-01;129304
2023-05-01;123802
2023-06-01;145559
2023-07-01;112897
2023-08-01;129790
2023-09-01;178554
2023-10-01;188729
2023-11-01;135232
2023-12-01;116719
2024-01-01;128466
2024-02-01;120937
2024-03-01;124942
2024-04-01;136586
2024-05-01;118834
2024-06-01;136762
2024-07-01;123241
2024-08-01;116507
2024-09-01;141419
2024-10-01;157934
2024-11-01;109338
2024-12-01;103818
2025-01-01;113548
2025-02-01;109273
2025-03-01;113424
2025-04-01;119136
2025-05-01;112062
2025-06-01;117050
2025-07-01;112797
2025-08-01;106818
2025-09-01;123146
2025-10-01;149389
2025-11-01;105789
2025-12-01;104479
2026-01-01;107842
2026-02-01;116705
2026-03-01;122403
2026-04-01;110843
