Date,trend
2007 Jul,NA
2007 Aug,NA
2007 Sep,NA
2007 Oct,NA
2007 Nov,NA
2007 Dec,NA
2008 Jan,90397.04166666666
2008 Feb,97506.91666666666
2008 Mar,104191.58333333333
2008 Apr,109687.12500000001
2008 May,111920.33333333333
2008 Jun,112719.29166666667
2008 Jul,111530.45833333333
2008 Aug,108587.08333333333
2008 Sep,105865.08333333331
2008 Oct,102537.16666666666
2008 Nov,98586.87499999999
2008 Dec,94726.75
2009 Jan,91019.25000000001
2009 Feb,87682.95833333333
2009 Mar,83963.75
2009 Apr,79915.375
2009 May,76850.45833333333
2009 Jun,73879.75000000001
2009 Jul,70531.70833333334
2009 Aug,67650.91666666667
2009 Sep,65028
2009 Oct,62362.58333333333
2009 Nov,60056.91666666666
2009 Dec,58331.916666666664
2010 Jan,56923.791666666664
2010 Feb,55868.79166666667
2010 Mar,54918.625
2010 Apr,54106.041666666664
2010 May,53710.33333333333
2010 Jun,53627.333333333314
2010 Jul,53671.33333333332
2010 Aug,53282.416666666664
2010 Sep,52636.375
2010 Oct,51916.50000000001
2010 Nov,51400.33333333334
2010 Dec,50801.75
2011 Jan,49798.33333333333
2011 Feb,48562.20833333333
2011 Mar,46634.125
2011 Apr,44410.416666666664
2011 May,42307.91666666667
2011 Jun,40314.20833333333
2011 Jul,38420.91666666667
2011 Aug,36864.37499999999
2011 Sep,35339.70833333333
2011 Oct,33708.20833333333
2011 Nov,32142.70833333333
2011 Dec,30713.29166666666
2012 Jan,29796.833333333332
2012 Feb,29296.541666666668
2012 Mar,28848.29166666667
2012 Apr,28479.958333333336
2012 May,28440.5
2012 Jun,28366.291666666668
2012 Jul,28398.25
2012 Aug,28601.249999999993
2012 Sep,28764.958333333332
2012 Oct,29142.625
2012 Nov,29787.124999999993
2012 Dec,30581.041666666668
2013 Jan,31545.000000000004
2013 Feb,32737.458333333336
2013 Mar,34717.791666666664
2013 Apr,37493.75
2013 May,39748.41666666666
2013 Jun,40968.125
2013 Jul,41745.75000000001
2013 Aug,42401.416666666664
2013 Sep,43054.87499999999
2013 Oct,43500.499999999985
2013 Nov,43466.49999999999
2013 Dec,43004.166666666664
2014 Jan,42213.541666666664
2014 Feb,41167.916666666664
2014 Mar,39549.125
2014 Apr,37453.87499999999
2014 May,35494.54166666667
2014 Jun,34287.95833333333
2014 Jul,33566.041666666664
2014 Aug,32928
2014 Sep,32361.25
2014 Oct,31913.58333333333
2014 Nov,31630
2014 Dec,31583.041666666664
2015 Jan,31658.45833333333
2015 Feb,31705.124999999996
2015 Mar,31850.624999999996
2015 Apr,31736.875
2015 May,31487.749999999996
2015 Jun,31411.375
2015 Jul,31329.833333333332
2015 Aug,31313.166666666668
2015 Sep,31361.333333333332
2015 Oct,31293.208333333336
2015 Nov,31254.916666666664
2015 Dec,31224.708333333332
2016 Jan,31110.291666666664
2016 Feb,31085.791666666664
2016 Mar,30956.875000000004
2016 Apr,30658.45833333334
2016 May,30601.916666666668
2016 Jun,30650.916666666668
2016 Jul,30658.208333333332
2016 Aug,30605.791666666664
2016 Sep,30561.874999999996
2016 Oct,30513.791666666664
2016 Nov,30497.208333333332
2016 Dec,30508.541666666664
2017 Jan,30564.666666666668
2017 Feb,30684.125
2017 Mar,30826.833333333332
2017 Apr,30808.75
2017 May,30951.708333333332
2017 Jun,31216.79166666666
2017 Jul,31524.458333333332
2017 Aug,32092.29166666666
2017 Sep,32681.083333333332
2017 Oct,33418.75
2017 Nov,34146.625
2017 Dec,34987.66666666667
2018 Jan,35910.916666666664
2018 Feb,36780.041666666664
2018 Mar,37768.5
2018 Apr,39471.125
2018 May,41076.70833333333
2018 Jun,42077.625
2018 Jul,43156.791666666664
2018 Aug,44238.74999999999
2018 Sep,45349.583333333336
2018 Oct,46725.16666666667
2018 Nov,48281.041666666664
2018 Dec,49499.54166666667
2019 Jan,50672.291666666664
2019 Feb,51902.5
2019 Mar,53209.66666666666
2019 Apr,54763.54166666666
2019 May,56050.125
2019 Jun,57190.5
2019 Jul,58522.29166666667
2019 Aug,59976.625000000015
2019 Sep,60185.416666666664
2019 Oct,58557.666666666664
2019 Nov,57179.541666666664
2019 Dec,57416.33333333332
2020 Jan,58115.499999999985
2020 Feb,58668.91666666666
2020 Mar,59156.54166666666
2020 Apr,59063.666666666664
2020 May,58657.54166666667
2020 Jun,58560.75
2020 Jul,58871.58333333333
2020 Aug,59755.125
2020 Sep,62873.666666666664
2020 Oct,68249.95833333334
2020 Nov,72807.04166666667
2020 Dec,75988.66666666666
2021 Jan,78148.16666666666
2021 Feb,79161.74999999999
2021 Mar,80875.91666666666
2021 Apr,83977.79166666666
2021 May,88134.41666666667
2021 Jun,92149.125
2021 Jul,94428.99999999999
2021 Aug,95059.54166666666
2021 Sep,95242.375
2021 Oct,95145.20833333334
2021 Nov,95651.04166666667
2021 Dec,96701.54166666666
2022 Jan,97504.33333333333
2022 Feb,99393.33333333331
2022 Mar,102628.04166666667
2022 Apr,105629.70833333334
2022 May,107349
2022 Jun,108435.79166666666
2022 Jul,110094.66666666664
2022 Aug,112636.79166666666
