Date;n
2023-09-02;24
2023-09-03;15
2023-09-04;46
2023-09-05;47
2023-09-06;48
2023-09-07;44
2023-09-08;35
2023-09-09;30
2023-09-10;31
2023-09-11;35
2023-09-12;48
2023-09-13;54
2023-09-14;60
2023-09-15;45
2023-09-16;35
2023-09-17;41
2023-09-18;72
2023-09-19;71
2023-09-20;56
2023-09-21;51
2023-09-22;48
2023-09-23;39
2023-09-24;35
2023-09-25;46
2023-09-26;42
2023-09-27;47
2023-09-28;41
2023-09-29;35
2023-09-30;34
2023-10-01;37
2023-10-02;100
2023-10-03;74
2023-10-04;77
2023-10-05;50
2023-10-06;42
2023-10-07;29
2023-10-08;28
2023-10-09;42
2023-10-10;38
2023-10-11;48
2023-10-12;42
2023-10-13;27
2023-10-14;25
2023-10-15;23
2023-10-16;30
2023-10-17;40
2023-10-18;37
2023-10-19;35
2023-10-20;27
2023-10-21;23
2023-10-22;21
2023-10-23;36
2023-10-24;36
2023-10-25;36
2023-10-26;20
2023-10-27;24
2023-10-28;14
2023-10-29;12
2023-10-30;61
