Date;n
2023-01-28;6
2023-01-29;9
2023-01-30;8
2023-01-31;8
2023-02-01;10
2023-02-02;7
2023-02-03;7
2023-02-04;9
2023-02-05;8
2023-02-06;8
2023-02-07;9
2023-02-08;8
2023-02-09;8
2023-02-10;7
2023-02-11;4
2023-02-12;4
2023-02-13;10
2023-02-14;9
2023-02-15;9
2023-02-16;7
2023-02-17;8
2023-02-18;6
2023-02-19;4
2023-02-20;10
2023-02-21;10
2023-02-22;8
2023-02-23;13
2023-02-24;8
2023-02-25;4
2023-02-26;4
2023-02-27;9
2023-02-28;100
2023-03-01;62
2023-03-02;35
2023-03-03;30
2023-03-04;19
2023-03-05;13
2023-03-06;16
2023-03-07;16
2023-03-08;14
2023-03-09;14
2023-03-10;11
2023-03-11;8
2023-03-12;8
2023-03-13;9
2023-03-14;10
2023-03-15;11
2023-03-16;12
2023-03-17;9
2023-03-18;8
2023-03-19;8
2023-03-20;10
2023-03-21;11
2023-03-22;11
2023-03-23;9
2023-03-24;8
2023-03-25;4
2023-03-26;7
2023-03-27;10
2023-03-28;10
