Date,n
2006-09-01,0
2007-07-01,4201
2007-08-01,13389
2007-09-01,35350
2007-10-01,46355
2007-11-01,56071
2007-12-01,56528
2008-01-01,89763
2008-02-01,77614
2008-03-01,84731
2008-04-01,92458
2008-05-01,82516
2008-06-01,80585
2008-07-01,72287
2008-08-01,62821
2008-09-01,92322
2008-10-01,73262
2008-11-01,58866
2008-12-01,58333
2009-01-01,57460
2009-02-01,49279
2009-03-01,54921
2009-04-01,52155
2009-05-01,43366
2009-06-01,43178
2009-07-01,36767
2009-08-01,32670
2009-09-01,48880
2009-10-01,37993
2009-11-01,33919
2009-12-01,28115
2010-01-01,28841
2010-02-01,26783
2010-03-01,30838
2010-04-01,28980
2010-05-01,25500
2010-06-01,29200
2010-07-01,24360
2010-08-01,25042
2010-09-01,36972
2010-10-01,32377
2010-11-01,29966
2010-12-01,27405
2011-01-01,27154
2011-02-01,21412
2011-03-01,27218
2011-04-01,23454
2011-05-01,24587
2011-06-01,22847
2011-07-01,18141
2011-08-01,15142
2011-09-01,22896
2011-10-01,19077
2011-11-01,16392
2011-12-01,15546
2012-01-01,15013
2012-02-01,13446
2012-03-01,14946
2012-04-01,14263
2012-05-01,13553
2012-06-01,15659
2012-07-01,13759
2012-08-01,13657
2012-09-01,19786
2012-10-01,18643
2012-11-01,17734
2012-12-01,14470
2013-01-01,17583
2013-02-01,14763
2013-03-01,17102
2013-04-01,17941
2013-05-01,17169
2013-06-01,18161
2013-07-01,17896
2013-08-01,17444
2013-09-01,25994
2013-10-01,26873
2013-11-01,20016
2013-12-01,14393
2014-01-01,16275
2014-02-01,13560
2014-03-01,15880
2014-04-01,14125
2014-05-01,12333
2014-06-01,11986
2014-07-01,11423
2014-08-01,10528
2014-09-01,15783
2014-10-01,16514
2014-11-01,12081
2014-12-01,11877
2015-01-01,12459
2015-02-01,11503
2015-03-01,12560
2015-04-01,13183
2015-05-01,11213
2015-06-01,13102
2015-07-01,11170
2015-08-01,11439
2015-09-01,16194
2015-10-01,15548
2015-11-01,11697
2015-12-01,12105
2016-01-01,11892
2016-02-01,12317
2016-03-01,12184
2016-04-01,13103
2016-05-01,11026
2016-06-01,12814
2016-07-01,10200
2016-08-01,11746
2016-09-01,14672
2016-10-01,14069
2016-11-01,12241
2016-12-01,11871
2017-01-01,11792
2017-02-01,11335
2017-03-01,12137
2017-04-01,11724
2017-05-01,11067
2017-06-01,11771
2017-07-01,10867
2017-08-01,11405
2017-09-01,14963
2017-10-01,12397
2017-11-01,14262
2017-12-01,10836
2018-01-01,14361
2018-02-01,12636
2018-03-01,15152
2018-04-01,14680
2018-05-01,14395
2018-06-01,15919
2018-07-01,15145
2018-08-01,15573
2018-09-01,19797
2018-10-01,22541
2018-11-01,18333
2018-12-01,16502
2019-01-01,19622
2019-02-01,18472
2019-03-01,20319
2019-04-01,22725
2019-05-01,21128
2019-06-01,20993
2019-07-01,21996
2019-08-01,20600
2019-09-01,26262
2019-10-01,29755
2019-11-01,23116
2019-12-01,23160
2020-01-01,25994
2020-02-01,25340
2020-03-01,16422
2020-04-01,13978
2020-05-01,17558
2020-06-01,22896
2020-07-01,20608
2020-08-01,22636
2020-09-01,24607
2020-10-01,26202
2020-11-01,20117
2020-12-01,22832
2021-01-01,25285
2021-02-01,29584
2021-03-01,34995
2021-04-01,38813
2021-05-01,32110
2021-06-01,36342
2021-07-01,25128
2021-08-01,25490
2021-09-01,35921
2021-10-01,41441
2021-11-01,39840
2021-12-01,37263
2022-01-01,30692
2022-02-01,30360
2022-03-01,33960
2022-04-01,34310
2022-05-01,34956
2022-06-01,36953
2022-07-01,29270
2022-08-01,35492
2022-09-01,45699
2022-10-01,47454
2022-11-01,42323
2022-12-01,40345
2023-01-01,38255
2023-02-01,38956
2023-03-01,48567
2023-04-01,44332
2023-05-01,41848
2023-06-01,47228
2023-07-01,38844
2023-08-01,42514
2023-09-01,54142
2023-10-01,63279
2023-11-01,47006
2023-12-01,42795
2024-01-01,45525
2024-02-01,39980
2024-03-01,41266
2024-04-01,44957
2024-05-01,37976
2024-06-01,40289
2024-07-01,40059
2024-08-01,35791
2024-09-01,40129
2024-10-01,47618
2024-11-01,33738
2024-12-01,33190
2025-01-01,34449
2025-02-01,32283
2025-03-01,33003
2025-04-01,34741
2025-05-01,32164
2025-06-01,30785
2025-07-01,33449
2025-08-01,29439
2025-09-01,31250
2025-10-01,40344
2025-11-01,28723
2025-12-01,28867
2026-01-01,27779
2026-02-01,27798
2026-03-01,27379
2026-04-01,24480
