Date,n
2006-09-01,0
2007-07-01,6052
2007-08-01,19196
2007-09-01,52183
2007-10-01,66957
2007-11-01,80463
2007-12-01,81255
2008-01-01,128010
2008-02-01,110796
2008-03-01,121603
2008-04-01,131641
2008-05-01,118551
2008-06-01,116591
2008-07-01,103969
2008-08-01,91528
2008-09-01,139901
2008-10-01,110843
2008-11-01,90043
2008-12-01,90745
2009-01-01,89971
2009-02-01,78287
2009-03-01,88878
2009-04-01,84536
2009-05-01,70883
2009-06-01,71671
2009-07-01,59968
2009-08-01,55525
2009-09-01,86729
2009-10-01,66929
2009-11-01,60419
2009-12-01,49122
2010-01-01,51324
2010-02-01,47844
2010-03-01,56391
2010-04-01,53097
2010-05-01,47016
2010-06-01,54142
2010-07-01,43697
2010-08-01,46500
2010-09-01,72962
2010-10-01,61150
2010-11-01,56673
2010-12-01,50812
2011-01-01,50616
2011-02-01,39208
2011-03-01,49536
2011-04-01,42726
2011-05-01,45033
2011-06-01,41769
2011-07-01,32053
2011-08-01,28538
2011-09-01,44722
2011-10-01,36179
2011-11-01,31361
2011-12-01,28417
2012-01-01,27742
2012-02-01,24898
2012-03-01,27393
2012-04-01,25842
2012-05-01,24488
2012-06-01,28150
2012-07-01,23769
2012-08-01,24853
2012-09-01,37733
2012-10-01,34400
2012-11-01,32194
2012-12-01,25871
2013-01-01,31106
2013-02-01,26391
2013-03-01,29836
2013-04-01,32459
2013-05-01,33284
2013-06-01,38338
2013-07-01,36638
2013-08-01,40509
2013-09-01,69445
2013-10-01,69099
2013-11-01,51426
2013-12-01,35801
2014-01-01,39794
2014-02-01,33387
2014-03-01,38483
2014-04-01,34462
2014-05-01,30428
2014-06-01,30127
2014-07-01,25921
2014-08-01,26215
2014-09-01,45034
2014-10-01,43370
2014-11-01,30284
2014-12-01,28087
2015-01-01,30198
2015-02-01,27711
2015-03-01,30605
2015-04-01,31661
2015-05-01,26508
2015-06-01,32952
2015-07-01,24950
2015-08-01,28324
2015-09-01,46392
2015-10-01,39301
2015-11-01,28366
2015-12-01,28143
2016-01-01,28192
2016-02-01,29315
2016-03-01,30134
2016-04-01,30473
2016-05-01,26783
2016-06-01,31949
2016-07-01,23179
2016-08-01,29520
2016-09-01,42126
2016-10-01,36410
2016-11-01,29885
2016-12-01,27767
2017-01-01,28732
2017-02-01,27532
2017-03-01,30863
2017-04-01,28560
2017-05-01,28214
2017-06-01,30679
2017-07-01,25679
2017-08-01,29747
2017-09-01,45168
2017-10-01,32822
2017-11-01,36800
2017-12-01,27089
2018-01-01,36598
2018-02-01,33020
2018-03-01,39194
2018-04-01,37581
2018-05-01,36365
2018-06-01,42354
2018-07-01,35720
2018-08-01,40138
2018-09-01,57918
2018-10-01,59995
2018-11-01,47078
2018-12-01,39761
2019-01-01,48641
2019-02-01,45668
2019-03-01,51757
2019-04-01,56194
2019-05-01,52951
2019-06-01,52872
2019-07-01,51195
2019-08-01,52041
2019-09-01,75060
2019-10-01,77472
2019-11-01,57784
2019-12-01,53312
2020-01-01,62079
2020-02-01,60432
2020-03-01,36873
2020-04-01,29670
2020-05-01,43600
2020-06-01,61555
2020-07-01,50921
2020-08-01,56059
2020-09-01,70005
2020-10-01,65504
2020-11-01,47379
2020-12-01,50074
2021-01-01,55544
2021-02-01,60225
2021-03-01,70807
2021-04-01,72782
2021-05-01,59597
2021-06-01,71945
2021-07-01,48135
2021-08-01,46482
2021-09-01,67157
2021-10-01,71056
2021-11-01,66276
2021-12-01,59121
2022-01-01,51416
2022-02-01,49806
2022-03-01,60122
2022-04-01,56358
2022-05-01,60080
2022-06-01,64514
2022-07-01,47097
2022-08-01,59679
2022-09-01,83984
2022-10-01,78919
2022-11-01,67513
2022-12-01,59290
2023-01-01,61442
2023-02-01,62493
2023-03-01,76972
2023-04-01,66865
2023-05-01,64970
2023-06-01,75650
2023-07-01,58590
2023-08-01,65682
2023-09-01,88845
2023-10-01,92015
2023-11-01,67451
2023-12-01,57006
2024-01-01,63959
2024-02-01,61451
2024-03-01,62412
2024-04-01,67845
2024-05-01,59500
2024-06-01,68900
2024-07-01,62087
2024-08-01,58323
2024-09-01,71796
2024-10-01,79207
2024-11-01,55612
2024-12-01,52001
2025-01-01,58038
2025-02-01,55880
2025-03-01,57713
2025-04-01,60265
2025-05-01,56438
2025-06-01,59491
2025-07-01,57591
2025-08-01,54091
2025-09-01,63193
2025-10-01,75976
2025-11-01,54036
2025-12-01,53180
2026-01-01,57290
2026-02-01,62550
2026-03-01,66554
2026-04-01,60295
