Date,n,POP,taux_couverture,n_cumule,taux_couverture_cumule
2007-08-01,0,3699762,0,0,0
2007-09-01,0,3699762,0,0,0
2007-10-01,13,3699762,3.513739532434789e-6,13,3.513739532434789e-6
2007-11-01,33,3699762,8.919492659257542e-6,46,1.243323219169233e-5
2007-12-01,35,3699762,9.460067971939816e-6,81,2.1893300163632145e-5
2008-01-01,46,3688247,1.2472049729858113e-5,127,3.436534989349026e-5
2008-02-01,53,3688247,1.436997034092348e-5,180,4.873532023441374e-5
2008-03-01,57,3688247,1.5454496404389404e-5,237,6.418981663880315e-5
2008-04-01,52,3688247,1.4098838825056998e-5,289,7.828865546386014e-5
2008-05-01,47,3688247,1.2743181245724595e-5,336,9.103183670958474e-5
2008-06-01,38,3688247,1.0302997602926268e-5,374,1.0133483431251101e-4
2008-07-01,38,3688247,1.0302997602926268e-5,412,1.1163783191543727e-4
2008-08-01,17,3688247,4.609235769730172e-6,429,1.1624706768516745e-4
2008-09-01,61,3688247,1.6539022467855327e-5,490,1.3278609015302277e-4
2008-10-01,51,3688247,1.3827707309190518e-5,541,1.466137974622133e-4
2008-11-01,36,3688247,9.760734571193306e-6,577,1.563745320334066e-4
2008-12-01,34,3688247,9.218471539460345e-6,611,1.6559300357286695e-4
2009-01-01,43,3671633,1.1711410154555207e-5,654,1.7730441372742215e-4
2009-02-01,19,3671633,5.174809138059278e-6,673,1.8247922286548143e-4
2009-03-01,49,3671633,1.334556040867919e-5,722,1.958247832741606e-4
2009-04-01,39,3671633,1.0621976651805885e-5,761,2.064467599259665e-4
2009-05-01,41,3671633,1.1166693403180546e-5,802,2.1761345332914705e-4
2009-06-01,39,3671633,1.0621976651805885e-5,841,2.2823542998095294e-4
2009-07-01,44,3671633,1.1983768530242538e-5,885,2.4021919851119548e-4
2009-08-01,32,3671633,8.715468021994573e-6,917,2.4893466653319005e-4
2009-09-01,52,3671633,1.4162635535741181e-5,969,2.6309730206893123e-4
2009-10-01,33,3671633,8.987826397681903e-6,1002,2.7208512846661314e-4
2009-11-01,42,3671633,1.1439051778867877e-5,1044,2.8352418024548103e-4
2009-12-01,14,3671633,3.8130172596226257e-6,1058,2.8733719750510367e-4
2010-01-01,38,3667556,1.0361123320271048e-5,1096,2.976983208253747e-4
2010-02-01,29,3667556,7.907173060206852e-6,1125,3.056054938855816e-4
2010-03-01,28,3667556,7.634511920199719e-6,1153,3.132400058057813e-4
2010-04-01,39,3667556,1.063378446027818e-5,1192,3.238737902660595e-4
2010-05-01,26,3667556,7.089189640185453e-6,1218,3.309629799062449e-4
2010-06-01,21,3667556,5.725883940149789e-6,1239,3.366888638463947e-4
2010-07-01,16,3667556,4.362578240114125e-6,1255,3.410514420865088e-4
2010-08-01,0,3667556,0,1255,3.410514420865088e-4
2010-09-01,50,3667556,1.363305700035664e-5,1305,3.5468449908686544e-4
2010-10-01,46,3667556,1.2542412440328109e-5,1351,3.672269115271936e-4
2010-11-01,49,3667556,1.3360395860349508e-5,1400,3.805873073875431e-4
2010-12-01,42,3667556,1.1451767880299577e-5,1442,3.920390752678427e-4
2011-01-01,35,3660699,9.561015532825835e-6,1477,4.0160009080066853e-4
2011-02-01,36,3660699,9.834187405192287e-6,1513,4.114342782058608e-4
2011-03-01,29,3660699,7.92198429862712e-6,1542,4.1935626250448794e-4
2011-04-01,22,3660699,6.009781192061953e-6,1564,4.253660436965499e-4
2011-05-01,14,3660699,3.8244062131303335e-6,1578,4.2919044990968023e-4
2011-06-01,39,3660699,1.0653703022291645e-5,1617,4.398441529319719e-4
2011-07-01,16,3660699,4.370749957863239e-6,1633,4.442149028898351e-4
2011-08-01,12,3660699,3.278062468397429e-6,1645,4.4749296535823255e-4
2011-09-01,54,3660699,1.4751281107788431e-5,1699,4.62244246466021e-4
2011-10-01,0,3660699,0,1699,4.62244246466021e-4
2011-11-01,12,3660699,3.278062468397429e-6,1711,4.655223089344184e-4
2011-12-01,16,3660699,4.370749957863239e-6,1727,4.6989305889228166e-4
2012-01-01,27,3662104,7.372810821320203e-6,1754,4.7726586971360186e-4
2012-02-01,12,3662104,3.2768048094756455e-6,1766,4.805426745230775e-4
