Date,random_sur_range
2007 Jul,NA
2007 Aug,NA
2007 Sep,NA
2007 Oct,NA
2007 Nov,NA
2007 Dec,NA
2008 Jan,0.17960613865325487
2008 Feb,0.09016563431913346
2008 Mar,-0.0027224665476907263
2008 Apr,0.05490164692748659
2008 May,0.024538171750181578
2008 Jun,-0.06234126087393191
2008 Jul,-0.04185268719386889
2008 Aug,-0.011021323915697058
2008 Sep,-0.005357415326256544
2008 Oct,-0.014296540621764827
2008 Nov,-0.05280097904015823
2008 Dec,0.041978954209737525
2009 Jan,0.008506847873112998
2009 Feb,0.024119535028353335
2009 Mar,0.0238732781331603
2009 Apr,0.005699519267912085
2009 May,-0.010479558746272337
2009 Jun,-0.013139133214357444
2009 Jul,-0.018359779392450426
2009 Aug,0.005822647715508602
2009 Sep,-0.009346777028384242
2009 Oct,-0.03158377466431804
2009 Nov,0.01679121954140207
2009 Dec,0.030010869103354505
2010 Jan,-0.029613719502773535
2010 Feb,-0.04059677702838426
2010 Mar,-0.01380402683137872
2010 Apr,0.003926469622522002
2010 May,0.01611618593457873
2010 Jun,0.032516895154436856
2010 Jul,0.002916816352230405
2010 Aug,0.003606335658771008
2010 Sep,-0.06165174156739132
2010 Oct,-0.05020079594091377
2010 Nov,-0.03950310669973269
2010 Dec,-0.007223173449837002
2011 Jan,0.08164514574545342
2011 Feb,0.08883584708509092
2011 Mar,-0.04084303392357729
2011 Apr,-0.03242104810797443
2011 May,-0.02821005520017306
2011 Jun,-0.04904338853350638
2011 Jul,0.18465440500471264
2011 Aug,0.004936122892813579
2011 Sep,-0.02574748624824241
2011 Oct,0.020721189874689048
2011 Nov,-0.017783248543704312
2011 Dec,-0.005006861393099407
2012 Jan,-0.013213010282915385
2012 Feb,-0.004692521709235306
2012 Mar,-0.02133948782428653
2012 Apr,-0.011587714774641125
2012 May,-0.006933459455492227
2012 Jun,0.009023987353018412
2012 Jul,-0.004175382229329872
2012 Aug,0.04305669026870009
2012 Sep,-0.02397443660285232
2012 Oct,-0.022718526437367687
2012 Nov,-0.02487544712526459
2012 Dec,0.014496684706191379
2013 Jan,-0.007007336524050129
2013 Feb,-0.03261805362412892
2013 Mar,-0.010257927540598571
2013 Apr,0.0017101575657844069
2013 May,0.024981434161529068
2013 Jun,-0.046827076476768786
2013 Jul,-0.03609027584635113
2013 Aug,-0.047812104057541015
2013 Sep,-0.08913401107093744
2013 Oct,-0.08743483849410526
2013 Nov,0.5221103684775723
2013 Dec,0.020259096053709142
2014 Jan,-0.06374492517653237
2014 Feb,-0.09910741532625657
2014 Mar,-0.037296934632797166
2014 Apr,0.0766215050835149
2014 May,-0.009593033923577314
2014 Jun,-0.021561119029960312
2014 Jul,-0.022349141094578067
2014 Aug,-0.023875933844775078
2014 Sep,-3.826639008635049e-5
2014 Oct,0.03002970051298694
2014 Nov,-0.035957007408952545
2014 Dec,-0.003677074159056835
2015 Jan,-0.02429457056660336
2015 Feb,0.04450960595033913
2015 Mar,-0.008484877895208508
2015 Apr,-0.011144452363293613
2015 May,0.0010452639487631113
2015 Jun,0.012570086643798597
2015 Jul,-0.004618644640677365
2015 Aug,0.04217016544600507
2015 Sep,-0.0013680536241289414
2015 Oct,-0.04222207253665846
2015 Nov,-0.02088608542313693
2015 Dec,0.022032145699099205
2016 Jan,0.014712521631978233
2016 Feb,-0.027742167099306204
2016 Mar,-0.0013926793136482109
2016 Apr,0.013234980260819875
2016 May,0.022765122104791456
2016 Jun,0.0032615760055006876
2016 Jul,-0.0010725453498972547
2016 Aug,-0.0088050118589595
2016 Sep,-0.013779401141859413
2016 Oct,-0.021388739203325086
2016 Nov,-0.029751333650087274
2016 Dec,0.0650285995998084
2017 Jan,-0.010110173403482766
2017 Feb,-0.016660606815618283
2017 Mar,-0.01823665094485391
2017 Apr,-0.017350126122158867
2017 May,-0.0016143105193220139
2017 Jun,0.020105547636706366
2017 Jul,0.014441639047265873
2017 Aug,0.023996406580756854
2017 Sep,-0.01688223802129203
2017 Oct,-0.009420654096942125
2017 Nov,-0.013350624430229104
2017 Dec,0.014053422294843906
2018 Jan,-0.007893861346745133
2018 Feb,-0.02330954298583103
2018 Mar,0.007029306501954638
2018 Apr,-0.004052253781733317
2018 May,0.023651646927486517
2018 Jun,0.023208384516139022
2018 Jul,-0.006834956697414979
2018 Aug,6.023636799085957e-5
2018 Sep,-0.01289287631916441
2018 Oct,-0.022275264026020185
2018 Nov,-0.05147119180611563
2018 Dec,-0.0027905493363617555
2019 Jan,-0.004347762055965004
2019 Feb,-0.011784720290795563
2019 Mar,0.05933427104096174
2019 Apr,0.07883781714025251
2019 May,0.017445973168621242
2019 Jun,-0.009149771512229784
2019 Jul,-0.04052289995982638
2019 Aug,-0.010578061504349565
2019 Sep,-0.022644649368809774
2019 Oct,0.01318572888178126
2019 Nov,0.012801857839274448
2019 Dec,0.07743994711753889
2020 Jan,0.022247982624886097
2020 Feb,0.025006059851048357
2020 Mar,-0.09447778569662696
2020 Apr,-0.10245650910088229
2020 May,-0.039734877895208506
2020 Jun,0.022765122104791494
2020 Jul,0.0188742631607411
