Date,seasonal_sur_range
2007 Jul,-0.052967820543446724
2007 Aug,-0.039451035357207044
2007 Sep,0.10105321376568323
2007 Oct,0.08747684686664152
2007 Nov,-0.004265090909082592
2007 Dec,-0.04002812887028518
2008 Jan,-0.00744614988489403
2008 Feb,-0.030950394140867095
2008 Mar,0.003916099222989911
2008 Apr,-0.0022940364159643265
2008 May,-0.026150802637450024
2008 Jun,0.011107298903882375
2008 Jul,-0.052967820543446724
2008 Aug,-0.039451035357207044
2008 Sep,0.10105321376568323
2008 Oct,0.08747684686664152
2008 Nov,-0.004265090909082592
2008 Dec,-0.04002812887028518
2009 Jan,-0.00744614988489403
2009 Feb,-0.030950394140867095
2009 Mar,0.003916099222989911
2009 Apr,-0.0022940364159643265
2009 May,-0.026150802637450024
2009 Jun,0.011107298903882375
2009 Jul,-0.052967820543446724
2009 Aug,-0.039451035357207044
2009 Sep,0.10105321376568323
2009 Oct,0.08747684686664152
2009 Nov,-0.004265090909082592
2009 Dec,-0.04002812887028518
2010 Jan,-0.00744614988489403
2010 Feb,-0.030950394140867095
2010 Mar,0.003916099222989911
2010 Apr,-0.0022940364159643265
2010 May,-0.026150802637450024
2010 Jun,0.011107298903882375
2010 Jul,-0.052967820543446724
2010 Aug,-0.039451035357207044
2010 Sep,0.10105321376568323
2010 Oct,0.08747684686664152
2010 Nov,-0.004265090909082592
2010 Dec,-0.04002812887028518
2011 Jan,-0.00744614988489403
2011 Feb,-0.030950394140867095
2011 Mar,0.003916099222989911
2011 Apr,-0.0022940364159643265
2011 May,-0.026150802637450024
2011 Jun,0.011107298903882375
2011 Jul,-0.052967820543446724
2011 Aug,-0.039451035357207044
2011 Sep,0.10105321376568323
2011 Oct,0.08747684686664152
2011 Nov,-0.004265090909082592
2011 Dec,-0.04002812887028518
2012 Jan,-0.00744614988489403
2012 Feb,-0.030950394140867095
2012 Mar,0.003916099222989911
2012 Apr,-0.0022940364159643265
2012 May,-0.026150802637450024
2012 Jun,0.011107298903882375
2012 Jul,-0.052967820543446724
2012 Aug,-0.039451035357207044
